city,obl,lat_c,long_c
Барнаул,Алтайский край,53.3474020,83.7784496
Бийск,Алтайский край,52.5394905,85.2148673
Рубцовск,Алтайский край,51.5276264,81.2176174
Новоалтайск,Алтайский край,53.3933410,83.9394070
Заринск,Алтайский край,53.7036060,84.9267120
Славгород,Алтайский край,52.9892428,78.6462510
Алейск,Алтайский край,52.4970221,82.7730755
Южный,Алтайский край,52.1436155,84.7997973
Тальменка,Алтайский край,51.6338867,84.1177107
Белокуриха,Алтайский край,51.9994856,84.9860861
Кулунда,Алтайский край,52.5665590,78.9354479
Павловск,Алтайский край,53.3133356,82.9899119
Шипуново,Алтайский край,52.4527273,83.7142753
ЗАТО Сибирский,Алтайский край,53.5570680,83.8384250
Поспелиха,Алтайский край,51.9913520,81.8249820
Змеиногорск,Алтайский край,51.1544657,82.1979928
Троицкое,Алтайский край,52.9813880,84.6776280
Благовещенск,Амурская область,50.2905270,127.5271610
Белогорск,Амурская область,50.9213260,128.4728700
Свободный,Амурская область,51.3773539,128.1347500
Тында,Амурская область,55.1496940,124.7375884
Зея,Амурская область,53.7403584,127.2716246
Шимановск,Амурская область,51.9987021,127.6719156
Райчихинск,Амурская область,49.7968900,129.4033660
Завитинск,Амурская область,50.1111540,129.4402341
Магдагачи,Амурская область,53.4517890,125.8046814
Прогресс,Амурская область,49.7429063,129.6757417
Серышево,Амурская область,51.0912060,128.3809200
Екатеринославка,Амурская область,50.3712840,129.1071930
Сковородино,Амурская область,53.9862567,123.9373454
Архара,Амурская область,49.4224283,130.0858308
Новобурейский,Амурская область,49.7939604,129.8734105
Ивановка,Амурская область,50.3581430,128.0031280
Февральск,Амурская область,52.4570500,130.8528290
Ерофей Павлович,Амурская область,53.9592440,121.9524000
Новокиевский Увал,Амурская область,51.6624387,128.9205030
Соловьевск,Амурская область,54.2209210,124.4397960
Дипкун,Амурская область,55.1288913,126.7849656
Юктали,Амурская область,56.5939145,121.6480223
Архангельск,Архангельская область,64.5430219,40.5371210
Северодвинск,Архангельская область,64.5633850,39.8237690
Котлас,Архангельская область,61.2521510,46.6476290
Новодвинск,Архангельская область,64.4192120,40.7937930
Вельск,Архангельская область,61.0756446,42.0979582
Астрахань,Астраханская область,46.3498540,48.0315670
Икряное,Астраханская область,46.0979213,47.7362688
Нариманов,Астраханская область,46.6922610,47.8512380
Володарский,Астраханская область,46.3982430,48.5364379
Началово,Астраханская область,46.3387984,48.1945640
Белгород,Белгородская область,50.5952990,36.5869330
Старый Оскол,Белгородская область,51.2980380,37.8332020
Губкин,Белгородская область,51.2837140,37.5346600
Шебекино,Белгородская область,50.4091530,36.8940119
Валуйки,Белгородская область,50.2112960,38.1002269
Строитель,Белгородская область,50.7852360,36.4854280
Разумное,Белгородская область,50.5347140,36.6858710
Борисовка,Белгородская область,50.3010838,38.3737653
Красная Яруга,Белгородская область,50.8007009,35.6552280
Вейделевка,Белгородская область,50.1518962,38.4453089
Брянск,Брянская область,53.2423778,34.3668288
Клинцы,Брянская область,52.7585110,32.2400970
Новозыбков,Брянская область,52.5370860,31.9336700
Дятьково,Брянская область,53.6010020,34.3381000
Унеча,Брянская область,52.8451000,32.6867000
Карачев,Брянская область,53.1241910,34.9967580
Жуковка,Брянская область,53.5329608,33.7320863
Почеп,Брянская область,52.9287800,33.4545360
Навля,Брянская область,52.8275990,34.5064009
Трубчевск,Брянская область,52.5835000,33.7674670
Фокино,Брянская область,53.4526625,34.4154587
Погар,Брянская область,52.5542830,33.2637060
Дубровка,Брянская область,53.6897770,33.5049900
Глинищево,Брянская область,53.3032040,34.0800360
Владимир,Владимирская область,56.1288899,40.4075203
Ковров,Владимирская область,56.3746030,41.3116760
Муром,Владимирская область,55.5738000,42.0447000
Александров,Владимирская область,56.3935278,38.7211599
Кольчугино,Владимирская область,56.2939784,39.3759931
Вязники,Владимирская область,56.2451400,42.1375770
Киржач,Владимирская область,56.1592229,38.8721255
Радужный,Владимирская область,55.9939587,40.3294410
Лакинск,Владимирская область,56.0150930,39.9465580
Меленки,Владимирская область,55.3368374,41.6314063
Петушки,Владимирская область,55.9310313,39.4599489
Камешково,Владимирская область,56.3462575,40.9970980
