obl,rash_kart,rub_chet,z_plata,plot_nas_17
Россия,14167,30679,32878,8.57
Алтайский край,8677,16025,15831,14.08
Амурская область,13475,21504,36001,2.22
Архангельская область,15490,34706,26965,2.72
Астраханская область,9317,19140,22814,20.78
Белгородская область,9638,18754,26231,57.23
Брянская область,8253,14702,20555,35.02
Владимирская область,9413,18554,23914,47.78
Волгоградская область,9085,19764,24983,8.19
Вологодская область,12116,22890,23937,22.46
Воронежская область,10163,22892,15549,44.73
Еврейская автономная область,11654,22956,30661,4.53
Забайкальский край,11414,20378,31217,2.5
Ивановская область,8495,18389,21435,47.73
Иркутская область,13938,24926,36904,3.11
Кабардино-Балкарская Республика,5347,15003,21770,69.31
Калининградская область,12896,29331,28094,65.2
Калужская область,11692,21896,24978,34.07
Камчатский край,24172,53125,60173,0.68
Кемеровская область,10694,20608,27218,28.3
Кировская область,10390,15019,22913,10.73
Костромская область,8723,17637,14799,10.76
Краснодарский край,12035,23111,33758,73.8
Красноярский край,13054,26159,21865,1.21
Курганская область,9480,13386,23226,11.95
Курская область,8946,14676,21377,37.43
Ленинградская область,13345,28758,26268,21.36
Липецкая область,8764,16705,16025,48.08
Магаданская область,22647,55718,77350,0.31
Москва,23393,49211,67049,4834.31
Московская область,15459,33830,33015,167.46
Мурманская область,20298,46343,34193,5.23
Ненецкий автономный округ,25485,69204,63065,0.25
Нижегородская область,11326,21133,20837,42.39
Новгородская область,11820,22859,26724,11.24
Новосибирская область,12361,22933,26348,15.64
Омская область,9966,18530,27419,13.98
Оренбургская область,8635,14748,17256,16.07
Орловская область,8661,14466,20282,30.62
Пензенская область,8102,16636,23034,30.94
Пермский край,12602,23595,28231,16.43
Приморский край,14098,29355,39093,11.68
Псковская область,10635,20838,24040,11.59
Республика Адыгея,7647,14795,19996,58.18
Республика Алтай,9467,13563,20685,2.34
Республика Башкортостан,10200,17759,28687,28.45
Республика Бурятия,11835,13577,17989,2.8
Республика Дагестан,4373,21213,22864,60.51
Республика Ингушетия,3248,12760,24896,132.43
Республика Калмыкия,7278,13849,17446,3.72
Республика Карачаево-Черкессия,5823,15117,16006,32.67
Республика Карелия,15142,30674,28873,3.47
Республика Коми,16436,31916,35116,2.04
Республика Марий Эл,8256,15648,14001,29.29
Республика Мордовия,7760,10858,22202,30.95
Республика Саха (Якутия),16222,33361,57389,0.31
Республика Северная Осетия-Алания,5875,20781,13749,88.05
Республика Татарстан,11564,20628,31641,57.26
Республика Тыва,7625,12758,27182,1.89
Республика Хакасия,9037,21364,29422,8.73
Ростовская область,9742,18829,19479,41.91
Рязанская область,10021,18843,28304,28.45
Самарская область,11306,22663,29725,59.81
Санкт-Петербург,19012,42101,46428,3764.49
Саратовская область,8705,18671,14475,24.49
Сахалинская область,20996,48329,51027,5.6
Свердловская область,13605,23760,26422,22.28
Смоленская область,10286,18310,21601,19.14
Ставропольский край,8667,22348,23464,42.39
Тамбовская область,7527,16381,23433,30.19
Тверская область,11064,20444,24054,15.4
Томская область,12987,19205,34302,3.43
Тульская область,9492,18127,26824,58.39
Тюменская область,15851,22650,41482,9.23
Удмуртская Республика,11206,17306,27766,36.06
Ульяновская область,9232,20184,19345,33.7
Хабаровский край,16396,30567,33239,1.69
Ханты-Мансийский автономный округ-Югра,18423,31356,51225,3.08
Челябинская область,10370,16131,27631,39.56
Чеченская Республика,4341,13929,35655,90.42
Чувашская Республика,8220,13996,21792,67.38
Чукотский автономный округ,25771,87331,87127,0.07
Ямало-Ненецкий автономный округ,20802,37400,78118,0.7
Ярославская область,11479,20970,26427,35.13
Республика Крым,7278,13849,17446,73.31
